country,year,GDP,IND,M,X,DEFLATOR
Japan,1960-01-01,44307342950.0,,4558321892.0,18603235615.0,22.822009100000002
Japan,1961-01-01,53508617739.0,,5833316762.0,21578910375.0,24.59886628
Japan,1962-01-01,60723018684.0,,5641651996.0,25030558264.0,25.63191475
Japan,1963-01-01,69498131797.0,,6863868541.0,29034313416.0,27.04435349
Japan,1964-01-01,81749006382.0,,7922199211.0,33678487976.0,28.48546754
Japan,1965-01-01,90950278258.0,,8308310380.0,39065520032.0,29.94872536
Japan,1966-01-01,105628000000.0,,9538861648.0,45314233123.0,31.437437300000003
Japan,1967-01-01,123782000000.0,,11697188591.0,52562457170.0,33.16504711
Japan,1968-01-01,146601000000.0,,13213850374.0,60970068638.0,34.79639041
Japan,1969-01-01,172204000000.0,,15463845433.0,70722516979.0,36.33905313
Japan,1970-01-01,212609000000.0,,19572635780.0,80135122077.0,44.68711228
Japan,1971-01-01,240152000000.0,,20867004113.0,92953110572.0,46.96229044
Japan,1972-01-01,318031000000.0,,25436329222.0,96782853636.0,49.5942552
Japan,1973-01-01,432083000000.0,,41807597573.0,101853000000.0,55.89540179
Japan,1974-01-01,479626000000.0,,66503972919.0,125422000000.0,67.52726309
Japan,1975-01-01,521542000000.0,,64302596002.0,124226000000.0,72.37399246
Japan,1976-01-01,586162000000.0,,72270446349.0,144850000000.0,78.16961962
Japan,1977-01-01,721412000000.0,,79894824196.0,161843000000.0,83.44537059999999
Japan,1978-01-01,1013610000000.0,,91906326825.0,161434000000.0,87.28699377
Japan,1979-01-01,1055010000000.0,,127176000000.0,168383000000.0,89.68880977
Japan,1980-01-01,1105390000000.0,,155867000000.0,196979000000.0,94.56607281
Japan,1981-01-01,1218990000000.0,,164659000000.0,223391000000.0,97.33386342
Japan,1982-01-01,1134520000000.0,,151714000000.0,226714000000.0,99.03230889
Japan,1983-01-01,1243320000000.0,,146250000000.0,237976000000.0,99.96881748
Japan,1984-01-01,1318380000000.0,,157512000000.0,274514000000.0,101.44173990000002
Japan,1985-01-01,1398890000000.0,,149721000000.0,289014000000.0,102.7200575
Japan,1986-01-01,2078950000000.0,,150490000000.0,274604000000.0,104.3761125
Japan,1987-01-01,2532810000000.0,,181576000000.0,274882000000.0,104.211309
Japan,1988-01-01,3071680000000.0,,233782000000.0,293578000000.0,104.86293540000001
Japan,1989-01-01,3054910000000.0,,267623000000.0,321708000000.0,107.0743794
Japan,1990-01-01,3132820000000.0,,295832000000.0,345595000000.0,109.8639938
Japan,1991-01-01,3584420000000.0,,297072000000.0,364354000000.0,113.0806446
Japan,1992-01-01,3908810000000.0,,298544000000.0,381124000000.0,114.96529040000001
Japan,1993-01-01,4454140000000.0,,308940000000.0,384250000000.0,115.6187225
Japan,1994-01-01,4907040000000.0,1702890000000.0,348440000000.0,401330000000.0,115.9257076
Japan,1995-01-01,5449120000000.0,1875300000000.0,420001000000.0,418278000000.0,115.3072906
Japan,1996-01-01,4833710000000.0,1667610000000.0,437230000000.0,438393000000.0,114.73480479999999
